target_return,return,vol,sharpe
2.07417945759126,2.480401418236711,0.0010429770940363627,2378.193569561014
2.1033765954982915,2.480401418236711,0.0010429770940363627,2378.193569561014
2.132573733405323,2.480401418236711,0.0010429770940363627,2378.193569561014
2.1617708713123545,2.480401418236711,0.0010429770940363627,2378.193569561014
2.190968009219386,2.480401418236711,0.0010429770940363627,2378.193569561014
2.2201651471264174,2.480401418236711,0.0010429770940363627,2378.193569561014
2.249362285033449,2.480401418236711,0.0010429770940363627,2378.193569561014
2.2785594229404804,2.480401418236711,0.0010429770940363627,2378.193569561014
2.307756560847512,2.4804030639642476,0.0010425924894516096,2379.072445907325
2.3369536987545434,2.480402399076659,0.001042747767355607,2378.717535274061
2.366150836661575,2.4804021806238907,0.0010427988160684346,2378.600879099111
2.3953479745686064,2.480402833207515,0.0010426463641807935,2378.949295196906
2.424545112475638,2.480402481199342,0.0010427285806702768,2378.7613835279294
2.4537422503826694,2.4804026581513714,0.0010426872460056753,2378.8558531364934
2.482939388289701,2.4829237700100184,0.0015334890803372823,1619.1336487794965
